source_file,dataset,model,model_seed,reference_label,candidate_label,reference_layer,candidate_layer,cka
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,3,0,0.8500666580513547
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,3,1,0.8748815443398296
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,3,3,0.9559116382924764
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,3,4,0.920954183255042
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,3,5,0.8406979731654256
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,4,0,0.774796016191129
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,4,1,0.7364499365521848
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,4,3,0.8916015579913348
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,4,4,0.9734174083908624
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,4,5,0.9462196754277598
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,5,0,0.7099623184530306
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,5,1,0.6487135190992329
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,5,3,0.820967056569509
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,5,4,0.9487342222728476
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,strict,5,5,0.9757137611086087
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,0,0,1.0
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,0,1,0.9162960566478364
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,0,3,0.8851074059529893
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,0,4,0.8241399119775029
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,0,5,0.7863818115718619
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,1,0,0.9162960566478364
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,1,1,1.0
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,1,3,0.9278354396795196
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,1,4,0.8386731745525894
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,1,5,0.7658167755090394
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,3,0,0.8851074059529893
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,3,1,0.9278354396795196
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,3,3,1.0
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,3,4,0.9490036952921388
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,3,5,0.8916122046043102
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,4,0,0.8241399119775031
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,4,1,0.8386731745525894
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,4,3,0.9490036952921386
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,4,4,1.0
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,4,5,0.9713600643692696
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,5,0,0.7863818115718616
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,5,1,0.7658167755090394
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,5,3,0.8916122046043099
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,5,4,0.9713600643692696
results/stage3/layerwise/confirmatory/raw/seed-2/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,2,bp,exact,5,5,1.0
