cell_id,method,depth,width,batch_size,model_seed,region,record_count,host_time_mean_us,host_time_median_us,host_time_p95_us,device_time_mean_us,device_time_median_us,device_time_p95_us,peak_allocated_max_bytes,peak_reserved_max_bytes,vjp_calls_total,synchronization_points_total,saved_tensor_bytes_mean,saved_tensor_bytes_max,actual_inference_steps_total,actual_inference_steps_max,non_finite_events_total
s3b-cell-a56d936109a0df17edd1,fixedpred,4,256,256,71,local_state_vjp,250,9794.370692,9831.228,10456.543,8867.310114383698,8902.842029929161,9521.18393778801,1657725440,1866465280,10000,20000,0.0,0,0,0,0
s3b-cell-a56d936109a0df17edd1,fixedpred,4,256,256,71,optimizer_step,250,193.070592,189.752,208.148,170.9083840250969,167.57900267839432,186.4040046930313,1648371712,1866465280,0,500,0.0,0,0,0,0
s3b-cell-a56d936109a0df17edd1,fixedpred,4,256,256,71,parameter_vjp,250,1408.443772,1395.0815,1488.14,1360.3730845451355,1352.9170155525208,1438.8539791107178,1648885248,1866465280,1000,500,2375680.0,2375680,0,0,0
s3b-cell-a56d936109a0df17edd1,fixedpred,4,256,256,71,state_inference,250,27092.365424,27038.903,28414.666,27044.260551452637,27008.943557739258,28390.106201171875,1651038720,1866465280,10000,500,3713024.0,3713024,2500,10,0
s3b-cell-be63b4e18c0172b3a9d9,strict,4,256,256,71,initial_forward,250,804.8690600000001,795.8589999999999,863.397,761.1523425579071,751.9474923610687,816.2490129470825,3558449152,3839885312,250,500,2932740.0,2932740,0,0,0
s3b-cell-be63b4e18c0172b3a9d9,strict,4,256,256,71,local_state_vjp,250,14308.367788000001,14239.9375,14943.21,12850.53815972805,12777.26949006319,13468.366995453835,3562722816,3841982464,15000,30000,0.0,0,0,0,0
s3b-cell-be63b4e18c0172b3a9d9,strict,4,256,256,71,optimizer_step,250,199.973172,197.101,224.629,177.0327080488205,174.33400452136993,199.13500547409058,3560969216,3841982464,0,500,0.0,0,0,0,0
s3b-cell-be63b4e18c0172b3a9d9,strict,4,256,256,71,parameter_vjp,250,1409.808068,1387.522,1552.362,1357.1693568229675,1342.1459794044495,1466.9350385665894,3561482752,3841982464,1000,500,2375680.0,2375680,0,0,0
s3b-cell-be63b4e18c0172b3a9d9,strict,4,256,256,71,state_inference,250,58797.859784,58551.5845,60853.88,58714.120361328125,58453.83644104004,60652.23693847656,3561464320,3841982464,20000,500,37355600.0,37355600,5000,20,0
s3b-cell-5a67e39fe839340be72c,fixedpred,4,256,256,72,initial_forward,250,802.7000720000001,791.3245,896.37,760.5729901790619,748.9670217037201,837.149977684021,1652113408,1858076672,250,500,2932740.0,2932740,0,0,0
