cell_id,method,depth,width,batch_size,model_seed,region,host_time_median_us,device_time_median_us,host_time_share_of_region_sum,device_time_share_of_region_sum,host_time_to_composite_ratio,device_time_to_composite_ratio,peak_allocated_max_bytes,peak_reserved_max_bytes,vjp_calls_total,synchronization_points_total,saved_tensor_bytes_mean,saved_tensor_bytes_max,actual_inference_steps_total,non_finite_events_total
s3b-cell-9ea73590fd2f5bc019f6,fixedpred,4,64,64,72,local_state_vjp,9933.622,8973.78794849,0.252875988323,0.235091254816,0.319022419532,0.28737753681,402687488,404750336,10000,20000,0,0,0,0
s3b-cell-9ea73590fd2f5bc019f6,fixedpred,4,64,64,72,optimizer_step,188.115,165.263995528,0.00478876350875,0.00432951171876,0.00604139179549,0.00529243171679,401184256,404750336,0,500,0,0,0,0
s3b-cell-9ea73590fd2f5bc019f6,fixedpred,4,64,64,72,parameter_vjp,1402.981,1356.99999332,0.0357150903239,0.0355500746226,0.0450573208018,0.0434567116776,401213952,404750336,1000,500,299008,299008,0,0
s3b-cell-9ea73590fd2f5bc019f6,fixedpred,4,64,64,72,state_inference,26967.665,26931.4775467,0.686504372689,0.705538718638,0.866077825131,0.862456492671,401800704,404750336,10000,500,535040,535040,2500,0
s3b-cell-cdafef86dad427d26b64,fixedpred,4,64,256,70,initial_forward,775.036,730.219006538,0.0202295342545,0.0196079240297,0.0254245985474,0.0239142226653,670802944,698351616,250,500,1253892,1253892,0,0
s3b-cell-cdafef86dad427d26b64,fixedpred,4,64,256,70,local_state_vjp,9495.0905,8560.37249416,0.247835272838,0.229864098344,0.311480839773,0.280346926183,674645504,700448768,10000,20000,0,0,0,0
s3b-cell-cdafef86dad427d26b64,fixedpred,4,64,256,70,optimizer_step,188.656,165.539503098,0.00492418805619,0.00444508561348,0.00618874873369,0.00542131675776,667939840,700448768,0,500,0,0,0,0
s3b-cell-cdafef86dad427d26b64,fixedpred,4,64,256,70,parameter_vjp,1369.471,1324.46503639,0.0357451273296,0.0355646861847,0.044924687882,0.0433754141005,668116480,700448768,1000,500,1196032,1196032,0,0
s3b-cell-cdafef86dad427d26b64,fixedpred,4,64,256,70,state_inference,26483.8495,26460.4196548,0.691265877522,0.710518205828,0.868787051863,0.86656244466,671119872,700448768,10000,500,1432064,1432064,2500,0
s3b-cell-5b5993ca3e6856de5edd,fixedpred,4,64,256,71,initial_forward,787.294,743.653982878,0.0204990191354,0.0199275971048,0.025864019824,0.0243632434931,670802944,698351616,250,500,1253892,1253892,0,0
s3b-cell-5b5993ca3e6856de5edd,fixedpred,4,64,256,71,local_state_vjp,9671.131,8721.26944363,0.251810250593,0.233702700069,0.317713997444,0.285722144863,674645504,700448768,10000,20000,0,0,0,0
s3b-cell-5b5993ca3e6856de5edd,fixedpred,4,64,256,71,optimizer_step,187.859,165.009498596,0.00489134330474,0.00442173763902,0.00617150505416,0.00540596391,667939840,700448768,0,500,0,0,0,0
s3b-cell-5b5993ca3e6856de5edd,fixedpred,4,64,256,71,parameter_vjp,1384.299,1340.66355228,0.0360434242991,0.0359255833199,0.0454767047358,0.0439221913936,668116480,700448768,1000,500,1196032,1196032,0,0
s3b-cell-5b5993ca3e6856de5edd,fixedpred,4,64,256,71,state_inference,26375.84,26347.1984863,0.686755962668,0.706022381868,0.866493646126,0.863174576969,671119872,700448768,10000,500,1432064,1432064,2500,0
s3b-cell-00bdb34bd7ffd5afc89d,fixedpred,4,64,256,72,initial_forward,785.1795,739.108502865,0.0203241044166,0.0196796854114,0.0256063435209,0.0240632191206,670802944,698351616,250,500,1253892,1253892,0,0
