block_id,candidate_id,method,depth,width,batch_size,model_seed,device_time_ratio_to_baseline,host_time_ratio_to_baseline,peak_allocated_ratio_to_baseline,peak_reserved_ratio_to_baseline,saved_tensor_bytes_ratio_to_baseline,state_vjp_calls_ratio_to_baseline,graph_span_ratio_to_baseline,dependency_radius_ratio_to_baseline,device_time_reduction,device_speedup,peak_allocated_growth,peak_reserved_growth,candidate_observer_cost_ms,baseline_observer_cost_ms,fallback_validation_status
s3b-block-2cf74f689f6a282264ed,isolated_layer_vjp,strict,32,256,64,72,1.3070355142832952,1.3072459417522053,0.9357400934080713,0.9386519944979367,1.0059674151225053,1.0,1.0,1.0,-0.30703551428329523,0.7650901517762841,-0.0642599065919287,-0.06134800550206332,355.78028869628906,349.66094970703125,not_applicable_before_ex_if0
s3b-block-2cf74f689f6a282264ed,composite_vjp,strict,32,256,64,72,0.9260611366301692,0.9262041609344528,0.9357400934080713,0.9394773039889959,1.0059674151225053,0.03225806451612903,31.0,1.0,0.0739388633698308,1.0798423132611805,-0.0642599065919287,-0.06052269601100413,25.60059356689453,349.66094970703125,not_applicable_before_ex_if0
s3b-block-2f8f2e15c6be445829b9,isolated_layer_vjp,strict,32,256,256,72,1.3229820003490576,1.3229748048498782,0.8310453341399126,0.8422286332491886,1.010481022136688,1.0,1.0,1.0,-0.32298200034905755,0.7558681824364644,-0.16895466586008745,-0.15777136675081138,360.9438934326172,371.7053680419922,not_applicable_before_ex_if0
s3b-block-2f8f2e15c6be445829b9,composite_vjp,strict,32,256,256,72,0.9123456929608428,0.9123310778019375,0.8324616818617078,0.8339343671114317,1.010481022136688,0.03225806451612903,31.0,1.0,0.08765430703915722,1.0960757613210097,-0.16753831813829223,-0.16606563288856835,25.00965118408203,371.7053680419922,not_applicable_before_ex_if0
s3b-block-321102a72410315d0551,isolated_layer_vjp,fixedpred,8,64,256,72,1.6194198610472224,1.6194636089052836,0.9989927596672555,1.0025062656641603,4.25765119611366,1.0,1.0,1.0,-0.6194198610472224,0.617505085650447,-0.0010072403327444635,0.0025062656641603454,44.75246524810791,41.086716651916504,not_applicable_before_ex_if0
s3b-block-321102a72410315d0551,composite_vjp,fixedpred,8,64,256,72,1.1625726308495474,1.162594868874933,1.0022123767510156,1.0075187969924813,4.25765119611366,0.125,8.0,1.0,-0.16257263084954743,0.8601613124758082,0.002212376751015599,0.007518796992481258,9.146064758300781,41.086716651916504,not_applicable_before_ex_if0
s3b-block-408d0b1b8fa7bba85a56,isolated_layer_vjp,strict,16,64,64,71,1.2895827585557884,1.2895898229827796,0.8196935075427703,0.8212290502793296,1.0238646828141278,1.0,1.0,1.0,-0.2895827585557884,0.7754446105652856,-0.18030649245722974,-0.17877094972067042,184.69634628295898,186.61846160888672,not_applicable_before_ex_if0
s3b-block-408d0b1b8fa7bba85a56,composite_vjp,strict,16,64,64,71,0.9443204098093123,0.944323612700713,0.8201469394036409,0.8212290502793296,1.0238646828141278,0.06666666666666667,15.0,1.0,0.05567959019068769,1.0589626038072513,-0.17985306059635908,-0.17877094972067042,19.371601104736328,186.61846160888672,not_applicable_before_ex_if0
s3b-block-42755de60eb64ef1c30a,isolated_layer_vjp,strict,32,256,256,70,1.3540663668435042,1.354101233604644,0.8310453341399126,0.8433104940497655,1.010481022136688,1.0,1.0,1.0,-0.35406636684350423,0.7385162385586191,-0.16895466586008745,-0.15668950595023445,362.5429382324219,324.73279571533203,not_applicable_before_ex_if0
s3b-block-42755de60eb64ef1c30a,composite_vjp,strict,32,256,256,70,0.9337666729980735,0.9337709492040539,0.8324616818617078,0.8341146772448612,1.010481022136688,0.03225806451612903,31.0,1.0,0.06623332700192652,1.0709313460388012,-0.16753831813829223,-0.1658853227551388,24.848716735839844,324.73279571533203,not_applicable_before_ex_if0
s3b-block-468115f1002de4acf41a,isolated_layer_vjp,fixedpred,32,256,256,72,1.621056042673068,1.621072837266424,0.9999134248365935,0.9944926922262233,4.418840684541427,1.0,1.0,1.0,-0.621056042673068,0.616881818811787,-8.657516340648819e-05,-0.005507307773776726,171.99688720703125,158.01065826416016,not_applicable_before_ex_if0
s3b-block-468115f1002de4acf41a,composite_vjp,fixedpred,32,256,256,72,1.0554195342566413,1.0554230534376217,1.0018440291732131,0.9942808726964626,4.418840684541427,0.03125,32.0,1.0,-0.055419534256641256,0.9474905168439254,0.0018440291732131353,-0.005719127303537408,14.540843963623047,158.01065826416016,not_applicable_before_ex_if0
s3b-block-48a806186e9e1f3c3fc0,isolated_layer_vjp,strict,8,64,256,72,1.3093358673695559,1.3093548127116743,0.602081227329488,0.6085626911314985,1.0590308762621083,1.0,1.0,1.0,-0.3093358673695559,0.7637459760489042,-0.397918772670512,-0.3914373088685015,85.58616256713867,87.12158393859863,not_applicable_before_ex_if0
s3b-block-48a806186e9e1f3c3fc0,composite_vjp,strict,8,64,256,72,0.9925443635326723,0.9925619098143996,0.602727270983471,0.6100917431192661,1.0590308762621083,0.14285714285714285,7.0,1.0,0.00745563646732772,1.0075116405283806,-0.397272729016529,-0.38990825688073394,15.695137023925781,87.12158393859863,not_applicable_before_ex_if0
s3b-block-48ba4e0d32360c38db27,isolated_layer_vjp,strict,8,64,64,70,1.3157777644940474,1.3160983005602427,0.7776599259566753,0.7793103448275862,1.0515027526677088,1.0,1.0,1.0,-0.3157777644940474,0.7600067632884246,-0.22234007404332468,-0.2206896551724138,86.2570571899414,91.1504955291748,not_applicable_before_ex_if0
s3b-block-48ba4e0d32360c38db27,composite_vjp,strict,8,64,64,70,0.9930908222410861,0.9934183987450713,0.7777920856666017,0.7793103448275862,1.0515027526677088,0.14285714285714285,7.0,1.0,0.006909177758913865,1.006957246612472,-0.22220791433339826,-0.2206896551724138,16.182119369506836,91.1504955291748,not_applicable_before_ex_if0
s3b-block-48bf63ad14fc2bc1ff7a,isolated_layer_vjp,fixedpred,16,256,64,72,1.622333515836713,1.6224406150074706,1.0,0.9988992845349477,5.079856484106007,1.0,1.0,1.0,-0.6223335158367129,0.6163960679097809,0.0,-0.0011007154650523043,85.01704406738281,79.60245323181152,not_applicable_before_ex_if0
