dataset,model,checkpoint_label,model_seed,method,layer,metric,value,n_observations,n_missing
FashionMNIST,lenet_classic,final,4,fixedpred,0,norm_ratio,0.00087872328750501999,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,0,relative_l2,0.99912421512549443,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,0,sign_agreement,0.96410256410256423,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,1,cosine,0.99995491242303558,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,1,norm_ratio,0.0083318475981752401,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,1,relative_l2,0.99166853109954389,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,1,sign_agreement,0.99718543046357622,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,3,cosine,0.99999993412347232,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,3,norm_ratio,0.22516312382352505,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,3,relative_l2,0.77483689531977828,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,3,sign_agreement,0.9997423108894431,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,4,cosine,0.99999996072801733,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,4,norm_ratio,0.61258205946780142,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,4,relative_l2,0.38741800262867732,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,4,sign_agreement,0.99992129083038184,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,5,cosine,1,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,5,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,5,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,4,fixedpred,5,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,4,strict,0,cosine,0.85775054540851003,5,0
FashionMNIST,lenet_classic,final,4,strict,0,norm_ratio,0.00056896668283112006,5,0
FashionMNIST,lenet_classic,final,4,strict,0,relative_l2,0.99951184152628747,5,0
FashionMNIST,lenet_classic,final,4,strict,0,sign_agreement,0.82307692307692304,5,0
FashionMNIST,lenet_classic,final,4,strict,1,cosine,0.9190564625318377,5,0
FashionMNIST,lenet_classic,final,4,strict,1,norm_ratio,0.0034478202105295798,5,0
FashionMNIST,lenet_classic,final,4,strict,1,relative_l2,0.99683102539617463,5,0
FashionMNIST,lenet_classic,final,4,strict,1,sign_agreement,0.89569536423841067,5,0
FashionMNIST,lenet_classic,final,4,strict,3,cosine,0.83616618788823893,5,0
FashionMNIST,lenet_classic,final,4,strict,3,norm_ratio,0.063381466595940988,5,0
FashionMNIST,lenet_classic,final,4,strict,3,relative_l2,0.94760095797576971,5,0
FashionMNIST,lenet_classic,final,4,strict,3,sign_agreement,0.83086450540315882,5,0
